Date,Hour,Time Block,A1,A2,E1,E2,N1,N2,N3,S1,S2,S3,W1,W2,W3,MCP
2020-11-14,4,03:30 - 03:45,1999.58,1999.58,1999.58,1999.58,1999.58,1999.58,1999.58,1999.58,1999.58,1999.58,1999.58,1999.58,1999.58,1999.58
2020-11-14,4,03:45 - 04:00,1999.44,1999.44,1999.44,1999.44,1999.44,1999.44,1999.44,1999.44,1999.44,1999.44,1999.44,1999.44,1999.44,1999.44
2020-11-14,5,04:00 - 04:15,1999.25,1999.25,1999.25,1999.25,1999.25,1999.25,1999.25,1999.25,1999.25,1999.25,1999.25,1999.25,1999.25,1999.25
2020-11-14,5,04:15 - 04:30,2149.1,2149.1,2149.1,2149.1,2149.1,2149.1,2149.1,2149.1,2149.1,2149.1,2149.1,2149.1,2149.1,2149.1
2020-11-14,5,04:30 - 04:45,2199.29,2199.29,2199.29,2199.29,2199.29,2199.29,2199.29,2199.29,2199.29,2199.29,2199.29,2199.29,2199.29,2199.29
2020-11-14,5,04:45 - 05:00,2230.56,2230.56,2230.56,2230.56,2230.56,2230.56,2230.56,2230.56,2230.56,2230.56,2230.56,2230.56,2230.56,2230.56
2020-11-14,5,04:00 - 04:15,1999.25,1999.25,1999.25,1999.25,1999.25,1999.25,1999.25,1999.25,1999.25,1999.25,1999.25,1999.25,1999.25,1999.25
2020-11-14,5,04:15 - 04:30,2149.1,2149.1,2149.1,2149.1,2149.1,2149.1,2149.1,2149.1,2149.1,2149.1,2149.1,2149.1,2149.1,2149.1
2020-11-14,5,04:30 - 04:45,2199.29,2199.29,2199.29,2199.29,2199.29,2199.29,2199.29,2199.29,2199.29,2199.29,2199.29,2199.29,2199.29,2199.29
2020-11-14,5,04:45 - 05:00,2230.56,2230.56,2230.56,2230.56,2230.56,2230.56,2230.56,2230.56,2230.56,2230.56,2230.56,2230.56,2230.56,2230.56
2020-11-14,6,05:00 - 05:15,2198.38,2198.38,2198.38,2198.38,2198.38,2198.38,2198.38,2198.38,2198.38,2198.38,2198.38,2198.38,2198.38,2198.38
2020-11-14,6,05:15 - 05:30,2399.03,2399.03,2399.03,2399.03,2399.03,2399.03,2399.03,2399.03,2399.03,2399.03,2399.03,2399.03,2399.03,2399.03
2020-11-14,6,05:30 - 05:45,2399.13,2399.13,2399.13,2399.13,2399.13,2399.13,2399.13,2399.13,2399.13,2399.13,2399.13,2399.13,2399.13,2399.13
2020-11-14,6,05:45 - 06:00,2274.08,2274.08,2274.08,2274.08,2274.08,2274.08,2274.08,2274.08,2274.08,2274.08,2274.08,2274.08,2274.08,2274.08
2020-11-14,6,05:00 - 05:15,2198.38,2198.38,2198.38,2198.38,2198.38,2198.38,2198.38,2198.38,2198.38,2198.38,2198.38,2198.38,2198.38,2198.38
2020-11-14,6,05:15 - 05:30,2399.03,2399.03,2399.03,2399.03,2399.03,2399.03,2399.03,2399.03,2399.03,2399.03,2399.03,2399.03,2399.03,2399.03
2020-11-14,6,05:30 - 05:45,2399.13,2399.13,2399.13,2399.13,2399.13,2399.13,2399.13,2399.13,2399.13,2399.13,2399.13,2399.13,2399.13,2399.13
2020-11-14,6,05:45 - 06:00,2274.08,2274.08,2274.08,2274.08,2274.08,2274.08,2274.08,2274.08,2274.08,2274.08,2274.08,2274.08,2274.08,2274.08
2020-11-14,7,06:00 - 06:15,2469.71,2469.71,2469.71,2469.71,2469.71,2469.71,2469.71,2469.71,2469.71,2469.71,2469.71,2469.71,2469.71,2469.71
2020-11-14,7,06:15 - 06:30,2635.72,2635.72,2635.72,2635.72,2635.72,2635.72,2635.72,2635.72,2635.72,2635.72,2635.72,2635.72,2635.72,2635.72
2020-11-14,7,06:30 - 06:45,2635.17,2635.17,2635.17,2635.17,2635.17,2635.17,2635.17,2635.17,2635.17,2635.17,2635.17,2635.17,2635.17,2635.17
2020-11-14,7,06:45 - 07:00,2649.84,2649.84,2649.84,2649.84,2649.84,2649.84,2649.84,2649.84,2649.84,2649.84,2649.84,2649.84,2649.84,2649.84
2020-11-14,7,06:00 - 06:15,2469.71,2469.71,2469.71,2469.71,2469.71,2469.71,2469.71,2469.71,2469.71,2469.71,2469.71,2469.71,2469.71,2469.71
2020-11-14,7,06:15 - 06:30,2635.72,2635.72,2635.72,2635.72,2635.72,2635.72,2635.72,2635.72,2635.72,2635.72,2635.72,2635.72,2635.72,2635.72
2020-11-14,7,06:30 - 06:45,2635.17,2635.17,2635.17,2635.17,2635.17,2635.17,2635.17,2635.17,2635.17,2635.17,2635.17,2635.17,2635.17,2635.17
2020-11-14,7,06:45 - 07:00,2649.84,2649.84,2649.84,2649.84,2649.84,2649.84,2649.84,2649.84,2649.84,2649.84,2649.84,2649.84,2649.84,2649.84
2020-11-14,8,07:00 - 07:15,2729.19,2729.19,2729.19,2729.19,2729.19,2729.19,2729.19,2729.19,2729.19,2729.19,2729.19,2729.19,2729.19,2729.19
